시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대,평점,법정동코드
제주특별자치도 제주시,가족,5,4,4,여,50대,5.266666666666667,50110
강원특별자치도 춘천시,비가족,4,4,4,여,30대,4.933333333333334,42110
강원특별자치도 춘천시,비가족,4,4,4,남,30대,4.933333333333334,42110
경기도 가평군,가족,4,4,4,남,30대,4.933333333333334,41820
경기도 양평군,비가족,5,5,4,여,20대,5.666666666666667,41830
충청남도 예산군,가족,5,4,4,여,30대,5.266666666666667,44810
경기도 고양시,가족,5,4,4,여,50대,5.266666666666667,41280
강원특별자치도 속초시,가족,5,4,4,여,40대,5.266666666666667,42210
전라남도 강진군,가족,4,4,4,남,40대,4.933333333333334,46810
경상북도 경주시,비가족,5,5,4,남,20대,5.666666666666667,47130
강원특별자치도 춘천시,비가족,5,5,4,남,20대,5.666666666666667,42110
경기도 의정부시,비가족,5,4,4,여,20대,5.266666666666667,41150
충청남도 태안군,비가족,5,4,4,여,50대,5.266666666666667,44825
제주특별자치도 제주시,비가족,5,4,4,남,50대,5.266666666666667,50110
인천광역시 중구,비가족,4,4,4,여,15~19세,4.933333333333334,28110
전라남도 신안군,가족,5,5,4,여,40대,5.666666666666667,46910
강원특별자치도 강릉시,가족,5,4,4,여,30대,5.266666666666667,42150
충청남도 보령시,비가족,4,4,4,남,30대,4.933333333333334,44180
제주특별자치도 서귀포시,비가족,4,4,4,남,20대,4.933333333333334,50130
충청북도 단양군,비가족,4,4,4,여,20대,4.933333333333334,43800
강원특별자치도 철원군,비가족,4,4,4,여,50대,4.933333333333334,42780
충청남도 부여군,가족,5,4,4,여,40대,5.266666666666667,44760
강원특별자치도 평창군,가족,5,4,4,남,40대,5.266666666666667,42760
전라북도 부안군,비가족,4,4,4,남,30대,4.933333333333334,45800
전라남도 장흥군,가족,5,4,4,여,30대,5.266666666666667,46800
대구광역시 동구,가족,5,5,4,남,50대,5.666666666666667,27140
인천광역시 남동구,비가족,4,4,4,남,20대,4.933333333333334,28200
경기도 포천시,비가족,5,5,4,여,20대,5.666666666666667,41650
제주특별자치도 서귀포시,가족,5,4,4,여,50대,5.266666666666667,50130
경기도 양평군,비가족,4,4,4,남,30대,4.933333333333334,41830
경기도 가평군,가족,4,4,4,여,40대,4.933333333333334,41820
제주특별자치도 서귀포시,가족,5,5,4,남,40대,5.666666666666667,50130
강원특별자치도 춘천시,비가족,4,4,4,여,20대,4.933333333333334,42110
충청남도 태안군,비가족,4,4,4,여,60대,4.933333333333334,44825
강원특별자치도 홍천군,비가족,5,4,4,남,20대,5.266666666666667,42720
경기도 양평군,가족,4,4,4,남,40대,4.933333333333334,41830
제주특별자치도 제주시,가족,5,5,4,여,40대,5.666666666666667,50110
경기도 안산시,비가족,4,4,4,여,20대,4.933333333333334,41270
경기도 화성시,비가족,5,4,4,여,15~19세,5.266666666666667,41590
충청남도 보령시,비가족,5,5,4,남,20대,5.666666666666667,44180
전라북도 군산시,비가족,4,4,4,남,20대,4.933333333333334,45130
경기도 포천시,비가족,4,4,4,남,30대,4.933333333333334,41650
전라남도 무안군,가족,4,4,4,여,30대,4.933333333333334,46840
충청남도 태안군,비가족,5,4,4,여,20대,5.266666666666667,44825
강원특별자치도 강릉시,가족,4,4,4,여,30대,4.933333333333334,42150
강원특별자치도 강릉시,가족,4,4,4,여,20대,4.933333333333334,42150
제주특별자치도 서귀포시,비가족,4,4,4,여,40대,4.933333333333334,50130
강원특별자치도 속초시,가족,4,4,4,남,50대,4.933333333333334,42210
전라남도 나주시,가족,4,4,4,여,30대,4.933333333333334,46170
경기도 양평군,가족,4,4,4,여,60대,4.933333333333334,41830
경기도 성남시,가족,4,4,4,남,60대,4.933333333333334,41130
강원특별자치도 홍천군,가족,4,4,4,여,50대,4.933333333333334,42720
경상북도 경주시,가족,4,4,4,여,40대,4.933333333333334,47130
제주특별자치도 서귀포시,가족,5,5,4,여,50대,5.666666666666667,50130
강원특별자치도 속초시,가족,4,5,4,남,30대,5.333333333333333,42210
강원특별자치도 강릉시,비가족,5,5,4,남,20대,5.666666666666667,42150
충청남도 보령시,가족,5,4,4,여,70세 이상,5.266666666666667,44180
제주특별자치도 서귀포시,가족,5,4,4,남,40대,5.266666666666667,50130
전라남도 진도군,가족,5,4,4,여,20대,5.266666666666667,46900
경기도 포천시,비가족,4,4,4,여,30대,4.933333333333334,41650
제주특별자치도 서귀포시,가족,4,4,4,여,50대,4.933333333333334,50130
경기도 고양시,비가족,4,4,4,남,20대,4.933333333333334,41280
경상남도 남해군,가족,5,4,4,남,40대,5.266666666666667,48840
강원특별자치도 강릉시,비가족,5,4,4,여,20대,5.266666666666667,42150
경기도 고양시,비가족,4,4,4,여,15~19세,4.933333333333334,41280
강원특별자치도 춘천시,비가족,4,4,4,남,20대,4.933333333333334,42110
