지역,SIG_CD
강원특별자치도 양구군,51800
강원특별자치도 영월군,51750
강원특별자치도 인제군,51810
강원특별자치도 정선군,51770
강원특별자치도 철원군,51780
강원특별자치도 태백시,51190
강원특별자치도 홍천군,51720
강원특별자치도 화천군,51790
강원특별자치도 횡성군,51730
서울특별시 서대문구,11410
